"x"
"ABI"
"AD"
"ADS"
"AI"
"AIR"
"ALV"
"ASML"
"BAS"
"BAYN"
"BBVA"
"BMW"
"BN"
"BNP"
"CRG"
"CS"
"DAI"
"DG"
"DPW"
"DTE"
"EL"
"ENEL"
"ENGI"
"ENI"
"EOAN"
"FP"
"FRE"
"GLE"
"IBE"
"INGA"
"ISP"
"ITX"
"LIN"
"MC"
"MUV2"
"NOKIA"
"OR"
"ORA"
"PHIA"
"SAF"
"SAN"
"SAN"
"SAP"
"SGO"
"SIE"
"SU"
"TEF"
"UNA"
"URW"
"VIV"
"VOW"
